SITE: https://mil.gov.ua | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 23 same-origin, 4 cross-origin
SITE: https://rootly.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(26) | SCRIPTS: 0 same-origin, 26 cross-origin
SITE: https://tff-forum.de | RISK LEVEL: LOW | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(5),SensitiveForms | SCRIPTS: 28 same-origin, 5 cross-origin
SITE: https://ca.tide.cambiumast.com | RISK LEVEL: MINIMAL | PROTECTIONS: none | RISKS: none | SCRIPTS: 1 same-origin, 0 cross-origin
SITE: https://www.tipsport.sk | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS | SCRIPTS: 27 same-origin, 0 cross-origin
SITE: https://solanocounty.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 15 same-origin, 4 cross-origin
SITE: https://dexscreener.com | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS | SCRIPTS: 1 same-origin, 0 cross-origin
SITE: https://streetinsider.com | RISK LEVEL: HIGH | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(13),PostMessage | SCRIPTS: 0 same-origin, 13 cross-origin
SITE: https://bash.com | RISK LEVEL: MEDIUM | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,Eval,XOrigin(49),PostMessage | SCRIPTS: 1 same-origin, 49 cross-origin
SITE: https://notify.nycourts.gov | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,SensitiveForms | SCRIPTS: 15 same-origin, 0 cross-origin
SITE: https://app.plus500.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(14) | SCRIPTS: 19 same-origin, 14 cross-origin
SITE: https://www.partstown.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(40),SensitiveForms | SCRIPTS: 0 same-origin, 40 cross-origin
SITE: https://www.qconcursos.com | RISK LEVEL: MEDIUM | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(2),PostMessage | SCRIPTS: 0 same-origin, 2 cross-origin
SITE: https://myeloma.org | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,SensitiveForms | SCRIPTS: 10 same-origin, 0 cross-origin
SITE: https://manchesterheights-enterpriseresidential.securecafe.com | RISK LEVEL: MEDIUM | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(28) | SCRIPTS: 2 same-origin, 28 cross-origin
SITE: https://earnbitmoon.club | RISK LEVEL: MEDIUM | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,Eval,XOrigin(17),SensitiveForms | SCRIPTS: 1 same-origin, 17 cross-origin
SITE: https://origin-www.reliancenetwork.com | RISK LEVEL: HIGH | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(17),SensitiveForms | SCRIPTS: 12 same-origin, 17 cross-origin
SITE: https://www.namecheap.com | RISK LEVEL: LOW | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,Eval,XOrigin(9),SensitiveForms | SCRIPTS: 0 same-origin, 9 cross-origin
SITE: https://sg.indeed.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(37) | SCRIPTS: 0 same-origin, 37 cross-origin
SITE: https://www.propertyguru.com.sg | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,XOrigin(46) | SCRIPTS: 0 same-origin, 46 cross-origin
SITE: https://bluecompassrv.com | RISK LEVEL: LOW | PROTECTIONS: CSP | RISKS: InlineJS,InlineCSS,XOrigin(3) | SCRIPTS: 0 same-origin, 3 cross-origin
SITE: https://myfrontline.app | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineCSS | SCRIPTS: 0 same-origin, 0 cross-origin
SITE: https://flagstar.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(8),SensitiveForms | SCRIPTS: 12 same-origin, 8 cross-origin
